A,B
[method = saturation_p_rv_rl_av_al],
T,out_pre,out_rhov,out_rhol,out_av,out_al
218.97230399999998,573695.3820367921,344.76931848898437,26581.977086831077,223.0580687248213,951.0848769812991
242.00461733155404,1.3736327811797715e6,810.7900172662374,24552.27866206788,222.5366665821133,790.2211698894615
247.99120039419924,1.6741795809542206e6,992.0056219053137,23970.714053970984,221.43156908689747,745.5594788504543
252.1906480056194,1.9120040727844834e6,1138.843292479677,23544.378995381165,220.393905755434,713.381917172089
255.53382241177007,2.118314718198645e6,1269.036781310458,23192.373634737665,219.40599001024884,687.2179103425105
258.3570057932784,2.3048381695347973e6,1389.2287572198798,22885.286123666174,218.45574063192947,664.7164791292819
260.82479485532906,2.47748063586459e6,1502.7631358725077,22608.64816219939,217.5351439090288,644.7220057616709
263.03153438331395,2.639706794409307e6,1611.6064134677572,22354.127565223633,216.63859911054715,626.5697336024601
265.0369306631081,2.793752987648015e6,1717.035670149171,22116.425283624056,215.76199935875786,609.8376071530435
266.88144636842827,2.941161322812166e6,1819.9407508951974,21891.930317417908,214.90221240185755,594.2387120679577
268.59391883318386,3.083048142321534e6,1920.9758750858555,21678.052476336412,214.05677083578163,579.5679257177036
270.19571028913043,3.220252312114707e6,2020.643278469461,21472.858067162393,213.22367731856914,565.6727938394176
271.7031382191618,3.3534231431110846e6,2119.3428002019523,21274.856074620333,212.40127635232025,552.4364435441483
273.1289812749363,3.4830754904390485e6,2217.4030070341328,21082.86534872008,211.58816646910208,539.7669763823092
274.483455802105,3.609625858297655e6,2315.1016716157437,20895.928231581325,210.78313794705832,527.5905776633365
275.7748732380412,3.7334169434424886e6,2412.6798029118413,20713.252195663397,209.9851272059685,515.8468687919185
277.0100967883985,3.854734841382808e6,2510.351613990256,20534.169098791466,209.19318239708963,504.48567179757634
278.19486725969716,3.9738214293980636e6,2608.311848562796,20358.10590995467,208.40643666075567,493.4646949998548
279.33404095239314,4.0908834823854747e6,2706.7413492381925,20184.563122923813,207.62408670525662,482.747837748704
280.43176686779924,4.2060995173974335e6,2805.8114371424713,20013.098446087984,206.84537509207178,472.3039218793839
281.49162105810404,4.319625023032015e6,2905.6874841039858,19843.314181864454,206.06957507583294,462.10572353868986
282.51671008840964,4.431596517176766e6,3006.5319423427973,19674.847220505126,205.29597714431333,452.12922001259545
283.50975183099285,4.542134739701631e6,3108.5070237997465,19507.36089809463,204.5238765933341,442.35299229526987
284.47313935320153,4.651347196355581e6,3211.777175682308,19340.53817880124,203.7525615885755,432.7577411684398
285.40899201123887,4.759330209179998e6,3316.5114711704337,19174.07575881475,202.98130123135465,423.32588591345745
286.3191967335407,4.86617058682378e6,3422.8860191454537,19007.67877890631,202.2093331698965,414.0412225416408
287.2054416910555,4.9719469987843735e6,3531.0864913094542,18841.055889401912,201.4358502868339,404.888623928629
288.06924399466214,5.076731116712344e6,3641.3108677745704,18673.914444962855,200.6599859481288,395.85376836075005
288.91197265938183,5.180588570854762e6,3753.772512941916,18505.95562262544,199.88079721447835,386.92288635925235
289.73486778300196,5.283579758727631e6,3868.703713167492,18336.86925835555,199.09724528478452,378.0825186778629
290.53905667111917,5.385760535037628e6,3986.359838439723,18166.328186353057,198.30817224733335,369.3192813665896
291.3255674795602,5.487182805935354e6,4107.024335737445,17993.981841260458,197.5122729339825,360.6196369184732
292.09534082354014,5.587895046358671e6,4231.014827823093,17819.448844010676,196.70806026822967,351.9696737419044
292.84923971018014,5.687942756176324e6,4358.690687328359,17642.30823202729,195.89382191080446,343.354899232558
293.58805807962324,5.787368868871046e6,4490.462597030269,17462.088903519005,195.06756514316572,334.760053816832
294.31252818455397,5.886214125514296e6,4626.804817277357,17278.25670417057,194.22694563982068,326.1689530451062
295.0233269945373,5.984517426779184e6,4768.27120029499,17090.198355989163,193.36917381724973,317.56435951929586
295.72108177736084,6.082316176792793e6,4915.516485663855,16897.201043396406,192.4908893919782,308.92787176462207
296.4063749823726,6.179646634880868e6,5069.325198336411,16698.425800131754,191.5879899050832,300.23978614797693
297.07974852905386,6.276544294899426e6,5230.651760179125,16492.871633442053,190.65539096451488,291.47883024703214
297.7417075865569,6.373044317105658e6,5400.677611089022,16279.325103850442,189.68668236722345,282.6215674663077
298.3927239157617,6.469182044713452e6,5580.894985044715,16056.285931479897,188.67362028529746,273.6411157772929
299.03323883385525,6.564993647127165e6,5773.234086304209,15821.851311395747,187.6053514038696,264.50459016667
299.66366585198574,6.660516946560708e6,5980.264246509565,15573.526246497013,186.4671784225322,255.1683530603623
300.2843930287601,6.755792511307706e6,6205.528471974051,15307.895967155651,185.23849577871275,245.56972178230384
300.8957850759218,6.850865158171176e6,6454.136067639888,15020.028359092026,183.8891147868924,235.61318178632536
301.49818524719694,6.94578618311047e6,6733.902612843565,14702.306738173607,182.37216214905175,225.14811633437424
302.09191703683837,7.040616960939154e6,7057.802182134273,14341.929438645857,180.6087499265377,213.93351836719344
302.67728571065817,7.135436194777165e6,7450.186439016174,13914.635339779203,178.44901910253793,201.58003053651416
303.2545796891939,7.230357745773937e6,7967.418356738118,13364.181830404988,175.54336775121277,187.4509260962626
303.8240718,7.325593016394355e6,8820.220256882629,12480.387059778888,170.59937898044203,170.47716349440572
