A,B
[method = saturation_p_rv_rl_al_hvl],
T,out_pre,out_rhov,out_rhol,out_al,out_hvl
218.97230399999998,573695.3820367921,344.76931848898437,26581.977086831077,951.0848769812991,15255.030355627196
224.99265989639878,734873.0539005764,437.5678660444935,26076.841942978517,910.5239686596855,14816.241458122982
227.486372959,810716.0634813289,481.31182116762636,25863.033750756946,893.4359746652951,14628.590655344342
229.39986629220957,872758.4607841518,517.1688915647204,25696.980416031227,880.20448470646,14482.05268543329
231.01301579279755,927751.7448397566,549.0210968723296,25555.571182269792,868.9669479453004,14356.709986683542
232.43422903308937,978299.7734943663,578.3650467921896,25429.86063632734,859.0021185843698,14244.85570783636
233.71910401613303,1.0257324287456801e6,605.9649751341136,25315.26397404968,849.9401913070876,14142.541098549622
234.9006685059725,1.070836491071468e6,632.2730252115355,25209.05923285517,841.561537565742,14047.422535251064
236.00044191799998,1.1141225064670078e6,657.582664419457,25109.473881170536,833.7230900925778,13957.974315033694
237.03337168919634,1.1559436619247757e6,682.0970032596579,25015.277338263448,826.3254958750813,13873.137526721588
238.01034095744484,1.1965560673975488e6,705.9634307226465,24925.57403834105,819.2964317838356,13792.141757640411
238.9395656127585,1.236152280511029e6,729.2928711537963,24839.68817991056,812.5813106188234,13714.405809006625
239.82742858441912,1.2748812918026326e6,752.1712610926584,24757.094921520824,806.1377316001112,13639.478431512842
240.67900588100778,1.3128611040004455e6,774.6667714075326,24677.377011839068,799.931981648133,13567.000973848486
241.49841311076855,1.3501870040126957e6,796.8345554113846,24600.196228880293,793.9367309147328,13496.682788661015
242.28904212499413,1.3869372021637189e6,818.7199850822426,24525.27388120402,788.1294592040997,13428.284444169594
243.05372758559514,1.4231767946186874e6,840.3609245413227,24452.377087171528,782.4913484895626,13361.605912260547
243.7948672646623,1.4589606201778548e6,861.7893688557915,24381.308868315216,777.0064831463567,13296.47804122069
244.51451087699996,1.4943353661425756e6,883.0326518615677,24311.900836096418,771.661259444904,13232.756261607949
245.21442695655153,1.5293411509285662e6,904.1143537324862,24244.00768778017,766.4439410428527,13170.315849766896
245.89615406617872,1.564012733819279e6,925.0549946343833,24177.502992896687,761.3443186446716,13109.04830241851
246.56104060582115,1.5983804537317923e6,945.8725729385657,24112.27591872918,756.3534454641032,13048.85851957777
247.21027617621476,1.632470967551064e6,966.5829884872757,24048.22865111826,751.4634288240719,12989.662585946924
247.8449165895109,1.6663078378751704e6,987.2003795119575,23985.27433826076,746.6672639874281,12931.386002415207
248.4659040322661,1.699912006011601e6,1007.7373937670993,23923.335433480646,741.9587002085752,12873.962260890683
249.07408348199394,1.7333021764112855e6,1028.2054089017686,23862.34234626914,737.3321316844015,12817.33168438292
249.6702161945108,1.7664951319528893e6,1048.614713203337,23802.232334295324,732.7825079715341,12761.44047440693
250.2549908766287,1.7995059946593961e6,1068.9746550761201,23742.948585786602,728.3052597844403,12706.23992215635
250.82903301194506,1.832348442933296e6,1089.2937676119964,23684.439453774088,723.8962370652014,12651.685750307362
251.39291269971145,1.865034893833167e6,1109.5798731395216,23626.657812573532,719.5516569320935,12597.73755995619
251.9471512866685,1.8975766570106768e6,1129.8401715460332,23569.560513470948,715.268059646923,12544.358362871415
252.49222701152274,1.929984065497373e6,1150.0813153473134,23513.107921538027,711.0422711410391,12491.514183510442
253.02857983599998,1.9622665874456107e6,1170.3094738572026,23457.263519269844,706.8713709442052,12439.173718490085
